Year,Country,ISO3,GDP_Growth_Percent,Inflation_Percent,Population_Total,Data_Type,Source
2005,China,CHN,11.45823846,1.776414077,1303720000,Historical,World Bank API
2006,China,CHN,12.67467517,1.649430995,1311020000,Historical,World Bank API
2007,China,CHN,14.14998549,4.816767674,1317885000,Historical,World Bank API
2008,China,CHN,9.670245886,5.92525137,1324655000,Historical,World Bank API
2009,China,CHN,9.402699728,-0.728165251,1331260000,Historical,World Bank API
2010,China,CHN,10.59627198,3.175324753,1337705000,Historical,World Bank API
2011,China,CHN,9.461335887,5.553898923,1345035000,Historical,World Bank API
2012,China,CHN,7.856174271,2.619524326,1354190000,Historical,World Bank API
2013,China,CHN,7.778724094,2.621050017,1363240000,Historical,World Bank API
2014,China,CHN,7.461900282,1.921641628,1371860000,Historical,World Bank API
2015,China,CHN,6.978780027,1.437023809,1379860000,Historical,World Bank API
2016,China,CHN,6.775555628,2.000001822,1387790000,Historical,World Bank API
2017,China,CHN,6.891266362,1.593136001,1396215000,Historical,World Bank API
2018,China,CHN,6.756718002,2.0747904,1402760000,Historical,World Bank API
2019,China,CHN,6.068502351,2.899234164,1407745000,Historical,World Bank API
2020,China,CHN,2.340188431,2.419421895,1411100000,Historical,World Bank API
2021,China,CHN,8.570085132,0.981015136,1412360000,Historical,World Bank API
2022,China,CHN,3.134188872,1.973575557,1412175000,Historical,World Bank API
2023,China,CHN,5.414843301,0.234836829,1410710000,Historical,World Bank API
2024,China,CHN,4.977356592,0.218128938,1408975000,Historical,World Bank API
2000,Euro Area,EMU,3.901413582,2.9475656,325789631,Historical,World Bank API
2001,Euro Area,EMU,2.185098552,2.857328935,326861195,Historical,World Bank API
2002,Euro Area,EMU,0.946766858,2.326906836,328469678,Historical,World Bank API
2003,Euro Area,EMU,0.753191137,2.095235291,330286340,Historical,World Bank API
2004,Euro Area,EMU,2.311874626,2.216207889,332140117,Historical,World Bank API
2005,Euro Area,EMU,1.771667171,2.523928987,333897752,Historical,World Bank API
2006,Euro Area,EMU,3.324571362,2.720047505,335499702,Historical,World Bank API
2007,Euro Area,EMU,3.011168484,2.482315467,337282985,Historical,World Bank API
2008,Euro Area,EMU,0.410531246,4.11407022,338978475,Historical,World Bank API
2009,Euro Area,EMU,-4.482766272,0.437175413,340136844,Historical,World Bank API
2010,Euro Area,EMU,2.118231292,1.520575579,341002804,Historical,World Bank API
2011,Euro Area,EMU,1.777544731,3.288014272,340367367,Historical,World Bank API
2012,Euro Area,EMU,-0.920856756,2.541544741,341100659,Historical,World Bank API
2013,Euro Area,EMU,-0.16672488,1.310233556,341639530,Historical,World Bank API
2014,Euro Area,EMU,1.455875462,0.220195628,342228563,Historical,World Bank API
2015,Euro Area,EMU,2.143653674,-0.08520723,343180482,Historical,World Bank API
2016,Euro Area,EMU,1.801581128,0.166009884,344132977,Historical,World Bank API
2017,Euro Area,EMU,2.622625905,1.375036415,344810179,Historical,World Bank API
2018,Euro Area,EMU,1.779911309,1.689239658,345864630,Historical,World Bank API
2019,Euro Area,EMU,1.62263181,1.441239669,346496601,Historical,World Bank API
2020,Euro Area,EMU,-6.056744251,0.18693814,346986142,Historical,World Bank API
2021,Euro Area,EMU,6.437137555,2.486504381,347207191,Historical,World Bank API
2022,Euro Area,EMU,3.659219243,8.471176456,348200155,Historical,World Bank API
2023,Euro Area,EMU,0.473405522,5.78431555,349762722,Historical,World Bank API
2024,Euro Area,EMU,0.911910157,2.18497407,351161936,Historical,World Bank API
2000,India,IND,3.840991157,4.00943591,1057922733,Historical,World Bank API
2001,India,IND,4.823966266,3.779293122,1077898575,Historical,World Bank API
2002,India,IND,3.803975321,4.297152039,1097600380,Historical,World Bank API
2003,India,IND,7.860381476,3.805858995,1116803006,Historical,World Bank API
2004,India,IND,7.922936612,3.767251735,1135991513,Historical,World Bank API
2005,India,IND,7.923430621,4.24634362,1154676322,Historical,World Bank API
2006,India,IND,8.060732572,5.796523376,1172878890,Historical,World Bank API
2007,India,IND,7.660815067,6.372881356,1190676021,Historical,World Bank API
2008,India,IND,3.086698059,8.349267049,1207930964,Historical,World Bank API
2009,India,IND,7.861888833,10.88235294,1225524753,Historical,World Bank API
2010,India,IND,8.497584702,11.98938992,1243481564,Historical,World Bank API
2011,India,IND,5.241316199,8.911793365,1261224954,Historical,World Bank API
2012,India,IND,5.456387552,9.478996914,1278674502,Historical,World Bank API
2013,India,IND,6.386106401,10.01787847,1295829511,Historical,World Bank API
2014,India,IND,7.410227605,6.665656719,1312277191,Historical,World Bank API
2015,India,IND,7.996253786,4.906973441,1328024498,Historical,World Bank API
2016,India,IND,8.256305502,4.948216341,1343944296,Historical,World Bank API
2017,India,IND,6.795383419,3.328173375,1359657400,Historical,World Bank API
2018,India,IND,6.453851345,3.938826467,1374659064,Historical,World Bank API
2019,India,IND,3.871436941,3.729505735,1389030312,Historical,World Bank API
2020,India,IND,-5.777724707,6.623436776,1402617695,Historical,World Bank API
2021,India,IND,9.689592492,5.131407472,1414203896,Historical,World Bank API
2022,India,IND,7.609364978,6.699034141,1425423212,Historical,World Bank API
2023,India,IND,9.19075493,5.649143189,1438069596,Historical,World Bank API
2024,India,IND,6.494765524,4.95303551,1450935791,Historical,World Bank API
2000,Japan,JPN,2.764647551,-0.676578684,126843000,Historical,World Bank API
2001,Japan,JPN,0.386103426,-0.740055504,127149000,Historical,World Bank API
2002,Japan,JPN,0.041962499,-0.923494027,127445000,Historical,World Bank API
2003,Japan,JPN,1.535125499,-0.256541816,127718000,Historical,World Bank API
2004,Japan,JPN,2.186115694,-0.008573388,127761000,Historical,World Bank API
2005,Japan,JPN,1.803900872,-0.282946069,127773000,Historical,World Bank API
2006,Japan,JPN,1.372350128,0.249355116,127854000,Historical,World Bank API
2007,Japan,JPN,1.483969412,0.060039454,128001000,Historical,World Bank API
2008,Japan,JPN,-1.224289001,1.380078862,128063000,Historical,World Bank API
2009,Japan,JPN,-5.693236359,-1.35283673,128047000,Historical,World Bank API
2010,Japan,JPN,4.097917919,-0.728243208,128070000,Historical,World Bank API
2011,Japan,JPN,0.023809524,-0.272455616,127833000,Historical,World Bank API
2012,Japan,JPN,1.374750999,-0.04406451,127629000,Historical,World Bank API
2013,Japan,JPN,2.005100177,0.335037912,127445000,Historical,World Bank API
2014,Japan,JPN,0.296205514,2.759226714,127276000,Historical,World Bank API
2015,Japan,JPN,1.560626697,0.795279631,127141000,Historical,World Bank API
2016,Japan,JPN,0.753826746,-0.127258844,127076000,Historical,World Bank API
2017,Japan,JPN,1.675331752,0.484199796,126972000,Historical,World Bank API
2018,Japan,JPN,0.643391024,0.989094598,126811000,Historical,World Bank API
2019,Japan,JPN,-0.402169201,0.468776159,126633000,Historical,World Bank API
2020,Japan,JPN,-4.168764571,-0.024995834,126261000,Historical,World Bank API
2021,Japan,JPN,2.696574042,-0.233352779,125681593,Historical,World Bank API
2022,Japan,JPN,0.941998775,2.497702782,125124989,Historical,World Bank API
2023,Japan,JPN,1.475034811,3.268133659,124516650,Historical,World Bank API
2024,Japan,JPN,0.104309022,2.738536816,123975371,Historical,World Bank API
2000,Pakistan,PAK,4.260088011,4.366664513,154879127,Historical,World Bank API
2001,Pakistan,PAK,3.651350171,3.148261446,159270907,Historical,World Bank API
2002,Pakistan,PAK,2.594816684,3.290344726,163222549,Historical,World Bank API
2003,Pakistan,PAK,5.401310873,2.914134701,167110248,Historical,World Bank API
2004,Pakistan,PAK,7.83125557,7.444624693,171286000,Historical,World Bank API
2005,Pakistan,PAK,7.276574436,9.06332737,175453212,Historical,World Bank API
2006,Pakistan,PAK,6.051637676,7.921084401,179682690,Historical,World Bank API
2007,Pakistan,PAK,4.44481434,7.598684411,184493231,Historical,World Bank API
2008,Pakistan,PAK,2.120441043,20.28612109,189499113,Historical,World Bank API
2009,Pakistan,PAK,3.472550596,13.64776506,194376534,Historical,World Bank API
2010,Pakistan,PAK,1.501717522,12.93887056,199239047,Historical,World Bank API
2011,Pakistan,PAK,2.680116854,11.91609271,203746065,Historical,World Bank API
2012,Pakistan,PAK,3.027583911,9.682351861,207667125,Historical,World Bank API
2013,Pakistan,PAK,4.36686505,7.692156119,211073978,Historical,World Bank API
2014,Pakistan,PAK,4.116428172,7.189384028,214264647,Historical,World Bank API
2015,Pakistan,PAK,4.217942096,2.529328173,217290883,Historical,World Bank API
2016,Pakistan,PAK,6.573838285,3.765119164,220138869,Historical,World Bank API
2017,Pakistan,PAK,4.432625907,4.08537368,223273967,Historical,World Bank API
2018,Pakistan,PAK,6.151702611,5.078057259,226928892,Historical,World Bank API
2019,Pakistan,PAK,2.497636929,10.5783618,230800899,Historical,World Bank API
2020,Pakistan,PAK,-1.274087443,9.739993139,235001746,Historical,World Bank API
2021,Pakistan,PAK,6.513885759,9.496210561,239477801,Historical,World Bank API
2022,Pakistan,PAK,4.778106869,19.87385996,243700667,Historical,World Bank API
2023,Pakistan,PAK,-0.414935997,30.76812807,247504495,Historical,World Bank API
2024,Pakistan,PAK,3.048982873,12.63253185,251269164,Historical,World Bank API
2000,United States,USA,4.077585757,3.376857271,282162411,Historical,World Bank API
2001,United States,USA,0.955538348,2.826171119,284968955,Historical,World Bank API
2002,United States,USA,1.700447326,1.586031627,287625193,Historical,World Bank API
2003,United States,USA,2.795605963,2.270094973,290107933,Historical,World Bank API
2004,United States,USA,3.847771696,2.677236693,292805298,Historical,World Bank API
2005,United States,USA,3.483549936,3.392746845,295516599,Historical,World Bank API
2006,United States,USA,2.784539637,3.225944101,298379912,Historical,World Bank API
2007,United States,USA,2.003858298,2.852672482,301231207,Historical,World Bank API
2008,United States,USA,0.11358725,3.839100297,304093966,Historical,World Bank API
2009,United States,USA,-2.57650023,-0.355546266,306771529,Historical,World Bank API
2010,United States,USA,2.695192577,1.640043442,309378227,Historical,World Bank API
2011,United States,USA,1.564406858,3.156841569,311839461,Historical,World Bank API
2012,United States,USA,2.289113387,2.069337265,314339099,Historical,World Bank API
2013,United States,USA,2.117830098,1.464832656,316726282,Historical,World Bank API
2014,United States,USA,2.523819814,1.622222977,319257560,Historical,World Bank API
2015,United States,USA,2.945550455,0.118627136,321815121,Historical,World Bank API
2016,United States,USA,1.819451478,1.261583206,324353340,Historical,World Bank API
2017,United States,USA,2.457622299,2.130110004,326608609,Historical,World Bank API
2018,United States,USA,2.966505069,2.442583297,328529577,Historical,World Bank API
2019,United States,USA,2.583825334,1.812210075,330226227,Historical,World Bank API
2020,United States,USA,-2.16302914,1.233584396,331577720,Historical,World Bank API
2021,United States,USA,6.055052932,4.697858864,332099760,Historical,World Bank API
2022,United States,USA,2.51237532,8.002799821,334017321,Historical,World Bank API
2023,United States,USA,2.887556007,4.116338384,336806231,Historical,World Bank API
2024,United States,USA,2.793001277,2.949525205,340110988,Historical,World Bank API
2000,World,WLD,4.555061825,3.433515634,6161884811,Historical,World Bank API
2001,World,WLD,2.038553092,3.836572621,6245112906,Historical,World Bank API
2002,World,WLD,2.311070967,2.90799857,6327557399,Historical,World Bank API
2003,World,WLD,3.09383471,3.025045263,6409750441,Historical,World Bank API
2004,World,WLD,4.501845397,3.517999031,6492769815,Historical,World Bank API
2005,World,WLD,4.05453629,4.107250707,6575841506,Historical,World Bank API
2006,World,WLD,4.476169589,4.267174634,6659977025,Historical,World Bank API
2007,World,WLD,4.413844733,4.810237043,6744489399,Historical,World Bank API
2008,World,WLD,2.092394584,8.949953354,6830513541,Historical,World Bank API
2009,World,WLD,-1.318649119,2.860448559,6916589116,Historical,World Bank API
2010,World,WLD,4.524240326,3.326344634,7001266876,Historical,World Bank API
2011,World,WLD,3.339003354,4.82239636,7087120034,Historical,World Bank API
2012,World,WLD,2.731209793,3.725326661,7176929184,Historical,World Bank API
2013,World,WLD,2.888142058,2.651673429,7265892332,Historical,World Bank API
2014,World,WLD,3.133017488,2.393715972,7354068030,Historical,World Bank API
2015,World,WLD,3.113789078,1.437023809,7441677465,Historical,World Bank API
2016,World,WLD,2.793592072,1.596912276,7528879985,Historical,World Bank API
2017,World,WLD,3.451830091,2.223143314,7614523410,Historical,World Bank API
2018,World,WLD,3.273958264,2.442583297,7697233736,Historical,World Bank API
2019,World,WLD,2.679117575,2.227478809,7778008621,Historical,World Bank API
2020,World,WLD,-2.899223103,1.90509722,7854748424,Historical,World Bank API
2021,World,WLD,6.413349615,3.475403203,7920514854,Historical,World Bank API
2022,World,WLD,3.403054837,7.985186718,7989545217,Historical,World Bank API
2023,World,WLD,2.94859475,5.870102688,8064057930,Historical,World Bank API
2024,World,WLD,2.871949642,2.972004776,8141808945,Historical,World Bank API
